DRUG_NAME,n_samples,r2,rmse,mae,pearson,spearman
MG-132,624,0.3936058126214669,0.11399665174906634,0.08655462084496769,0.6648186007972997,0.7046952160740299
MGCD-265,941,0.3114566645893827,0.09502260388790539,0.06540108650223299,0.651805341717051,0.5023542130243087
PF-184,919,0.29556116033040447,0.07793731775103373,0.05937716988506174,0.5792548897269562,0.5746447748719551
TPCA-1,1629,0.28036156734495954,0.12410222626565957,0.09823070781926171,0.6899175897860294,0.7216654363768269
JQ-1:UNC0638 (2:1 mol/mol),854,0.2610820336386085,0.13300191415437693,0.10454993622474118,0.5900320609124613,0.5669548446500975
ML311,962,0.2568528406301551,0.09836551826127672,0.07659385312215479,0.6340834320963155,0.6371168360353676
BRD-A94377914,485,0.23323991150908863,0.08957781139651362,0.07098639012275784,0.6733850532178073,0.6392064639891725
navitoclax:piperlongumine (1:1 mol/mol),883,0.21284960050684654,0.1485030160318823,0.11559881066078156,0.5013093548336985,0.45909127367758007
selumetinib:decitabine (4:1 mol/mol),878,0.20082419811027208,0.19038666056534168,0.1531851086235802,0.6990814907321449,0.6780049322051863
BRD1812,922,0.20011519819513346,0.0739895895558578,0.055294667306473415,0.46172544834521184,0.4818002806219665
PD0325901,676,0.19689099311257008,0.1553918045498943,0.11954946929884802,0.5943855154742761,0.5716505075826709
chlorambucil,918,0.19200174194046637,0.1095796271585643,0.08972480991595302,0.6778594001993947,0.5748842534493319
BMS-345541,1601,0.18287457407077679,0.12026448933882201,0.10641825047208493,0.7397125610373663,0.7728277115113502
AZD6738,678,0.17803160682156094,0.11305636717850964,0.09228589248952612,0.4999256520231458,0.503202543638239
Bleomycin (50 uM),678,0.16300429572548325,0.22993040511638937,0.17948235199981172,0.6934172639830829,0.718846918342862
B02,908,0.15764857424563983,0.08146732103445932,0.060569747668617877,0.44918186744087907,0.4748882724065914
PIK-93,1601,0.14965210177073018,0.14325973251687774,0.11333087161200703,0.6837328193030068,0.709776627435481
selumetinib:UNC0638 (4:1 mol/mol),934,0.14212219462784326,0.16221947677471005,0.12827850709639732,0.5966390188401702,0.5604672234177877
Selumetinib,1307,0.1373361247592757,0.14158386187192928,0.11475166762794022,0.5590053436393995,0.5268061795051755
AT-7519,666,0.13622736601672103,0.2047682196287822,0.17618745371366049,0.5518057043144,0.4348939822893671
GSK525762A,957,0.1262661350064711,0.12754008766553646,0.09542500897460385,0.6415521425179987,0.5443319201958565
Sunitinib,255,0.12428460052665147,0.14434165300985016,0.08878672142277136,0.6863078387000577,0.46218807897174613
Ki8751,914,0.12346794702603903,0.13695789046813703,0.10808888688107127,0.5568766963780317,0.35514007409432513
PFI-1,674,0.11187594842658266,0.07612112277218117,0.06044748029248721,0.3493440519835741,0.308696080862746
FQI-1,496,0.11102218555658039,0.09661247425612574,0.07560754946604988,0.5544707238987749,0.5693220868448051
pyrazolanthrone,957,0.10554275231302923,0.06502587314194422,0.04971715344986807,0.3722044938450757,0.40963434020347533
CRT0105950,683,0.09695586467591966,0.08593467119696828,0.06463246864436696,0.33891310169286654,0.2409741831473831
phloretin,925,0.08973088238500637,0.06700880630426441,0.04992780834708492,0.5457565093698012,0.43805951877333965
BIX-01294,925,0.0861472194933326,0.07704573177088497,0.05747880002168932,0.5260158633854896,0.5179020772186869
NSC19630,682,0.08415860475404535,0.09455410236699587,0.0751310604569563,0.48421968720579117,0.4432404613204052
Masitinib,679,0.07994355911373208,0.10753491361016308,0.057857854286615204,0.5210170697076972,0.3826407107115517
nintedanib,898,0.07906263741986586,0.12413119467207508,0.09932188066312451,0.43175210623801297,0.3304306944747066
ZD-6474,469,0.07698009923051707,0.10567897429020484,0.08143564217133688,0.4244840447581238,0.3673394513875096
XMD13-2,680,0.07592267712206413,0.07489718813269776,0.06047329599473055,0.544949204839432,0.47265763740058037
Pazopanib,652,0.05518836196954413,0.09750721062220476,0.06646025592218878,0.25692175891445945,0.06519506299507287
CIL70,492,0.053624986389741,0.08430613019240338,0.061990979413888064,0.35531783787757387,0.3562047402414826
GSK269962A,922,0.05203220776705886,0.11550903175127518,0.07942839624613018,0.23157034723541386,0.1301302758979424
Fedratinib,680,0.03854371138337853,0.14188023897617832,0.09661824166017421,0.6661611385453995,0.4465697882768167
sotrastaurin,673,0.03809799332028996,0.08508811439311785,0.07208146519169484,0.629067717139032,0.5630206993511975
AM-580,906,0.029410547882198435,0.13424711478122994,0.10063642964464496,0.3572020651550153,0.313884248504931
GSK650394,648,0.028022559334506814,0.12358566258105301,0.0941967915865227,0.239239788061007,0.18081762802262852
5-Fluorouracil,676,0.012270038035071651,0.1617401293086873,0.11398022205418241,0.532517439646288,0.4488286781707983
serdemetan,864,0.003115609980240852,0.10610558368346745,0.07123964291386653,0.6036722159731314,0.5186817630154863
ZSTK474,1606,-0.001300288115334558,0.17550311218884942,0.13752843914778284,0.5234914146042979,0.5300164193956864
Palbociclib,648,-0.012209042017049088,0.1214758492648169,0.10246834593317242,0.31720923986959043,0.16280766254569726
Amuvatinib,675,-0.022527915835085954,0.1455641551542976,0.08045689611846359,0.20695503518248692,0.240880140934923
RAF_9304,677,-0.02765054238385689,0.14007314946622432,0.08706662854148718,0.44445213333878275,0.3478085862475206
Z-LLNle-CHO,256,-0.02813714183085758,0.09592933296448286,0.08022560943530499,0.2773432407900479,0.26217240787365526
Pevonedistat,521,-0.02860824776799853,0.12605254917099076,0.0957499011174603,0.15896090934583781,0.20813651567837813
Rapamycin,231,-0.0345907507559009,0.22019516080502452,0.13972278425431353,0.08567487582547438,0.12360345801125412
tretinoin:carboplatin (2:1 mol/mol),917,-0.035071911838397085,0.1317217975525027,0.10742096240216596,0.49212440688716896,0.40382000040836036
Pyrimethamine,253,-0.040127356564735095,0.10670962707095716,0.08461406052541921,0.14494523686478836,0.2074239237881826
NSC-207895,676,-0.06088951635568551,0.09304385527480499,0.07647550025525178,0.2836729954155713,0.2917230713239283
BMS-195614,924,-0.06867060557693772,0.06658329000980596,0.044019607567545346,0.07345210798129297,0.12780468280828824
ML006,925,-0.07380876969980665,0.0837487511448185,0.06820162486937136,0.2836262124871719,0.26798500628118055
erlotinib:PLX-4032 (2:1 mol/mol),863,-0.0850101784909747,0.1313826869475528,0.09302723343478853,0.07738949625536737,0.15791462411793736
BI-2536,1213,-0.10986328959774583,0.3070484672778344,0.2689633465386584,0.5223376119008445,0.5680227949367628
