feature,mean_abs_shap,mean_shap,modality
PATHWAY_NAME_Unknown,0.032054733,-0.004099207,pathway
fp_356,0.014633311,-0.0026700029,fingerprint
fp_233,0.0063396227,0.0016851258,fingerprint
fp_849,0.0061256136,-0.0005296443,fingerprint
desc_fraction_csp3,0.005168247,-0.0005698895,rdkit_descriptor
desc_h_acceptors,0.004800515,0.0008605201,rdkit_descriptor
fp_807,0.0046603787,-0.00023555616,fingerprint
fp_694,0.004240232,0.0007678689,fingerprint
fp_130,0.0042226356,0.0007255023,fingerprint
fp_297,0.003632865,0.0004268498,fingerprint
target_token_MTOR,0.0030046888,0.0012550201,target_multihot
target_token_MCL1,0.0029414557,-0.00064725033,target_multihot
GMFG (9535),0.0029101886,9.052732e-05,gene_expression
IKZF1 (10320),0.0027705366,0.00014381466,gene_expression
desc_logp,0.0027593984,-0.00019522311,rdkit_descriptor
target_token_PLK1,0.0026886594,-0.0010924856,target_multihot
PUTATIVE_TARGET_Unknown,0.0025144222,-0.0007635761,target
fp_284,0.0023620587,0.0011026895,fingerprint
KRT7 (3855),0.0022824085,-8.3269784e-05,gene_expression
fp_17,0.0020205812,-0.00080968847,fingerprint
PATHWAY_NAME_RTK signaling,0.0019428595,-0.00091659167,pathway
desc_rotatable_bonds,0.0019376312,-3.016159e-06,rdkit_descriptor
fp_1010,0.0018758532,0.0016867381,fingerprint
SPN (6693),0.0018161611,-7.1440125e-05,gene_expression
PUTATIVE_TARGET_HSP90,0.0017733878,0.0017733878,target
TNFRSF12A (51330),0.0016468405,-1.7215867e-05,gene_expression
fp_541,0.0016421372,0.0004923702,fingerprint
fp_610,0.0016292348,2.4500256e-05,fingerprint
target_token_HDAC1,0.0015329709,-2.104827e-05,target_multihot
desc_h_donors,0.0014929064,-0.0002028624,rdkit_descriptor
fp_13,0.0014907074,5.289472e-05,fingerprint
fp_313,0.0014597743,-0.00041816093,fingerprint
PERP (64065),0.001455163,1.4170672e-05,gene_expression
RGL3 (57139),0.0014246501,3.1781274e-05,gene_expression
fp_63,0.0014121748,0.0006092477,fingerprint
desc_mr,0.001405433,-0.0010535691,rdkit_descriptor
desc_tpsa,0.0013885936,0.000315152,rdkit_descriptor
MET (4233),0.0013531554,-1.6140011e-06,gene_expression
fp_243,0.0012886521,0.00010475055,fingerprint
fp_162,0.0012740497,-0.00025714925,fingerprint
fp_717,0.0012514228,-0.00018317792,fingerprint
SDC4 (6385),0.00124709,1.5422824e-05,gene_expression
rppa_p62 Lck ligand_Caution,0.001223879,0.00017113042,rppa
fp_785,0.0012153585,8.522928e-05,fingerprint
fp_649,0.0011736813,0.00033447726,fingerprint
fp_424,0.0011234386,0.00012354157,fingerprint
PATHWAY_NAME_Cell cycle,0.0011212303,-9.776553e-06,pathway
fp_678,0.0010305012,0.00022005136,fingerprint
fp_412,0.0010205501,-0.00047831275,fingerprint
desc_aliphatic_rings,0.0009792594,9.060266e-05,rdkit_descriptor
PUTATIVE_TARGET_dsDNA break induction,0.0009672396,-0.00021029456,target
fp_687,0.0009541853,0.00045253983,fingerprint
fp_518,0.0009527009,-0.00026227237,fingerprint
fp_547,0.0009317289,-0.00019382307,fingerprint
PUTATIVE_TARGET_product of diversity oriented synthesis,0.0009283712,-1.4375108e-05,target
fp_723,0.00092827075,0.00015517726,fingerprint
fp_334,0.00091180694,0.00029461083,fingerprint
fp_993,0.0009052452,-0.00044296656,fingerprint
PUTATIVE_TARGET_HDAC,0.0008878782,-0.0006713492,target
target_token_MAP2K1,0.0008877874,-6.628689e-05,target_multihot
MYOF (26509),0.0008716439,-4.690276e-05,gene_expression
WWTR1 (25937),0.0008484044,-3.9857616e-05,gene_expression
fp_839,0.0008303258,2.140601e-05,fingerprint
fp_491,0.00082096737,0.00013306516,fingerprint
fp_80,0.0008082523,-0.00016087106,fingerprint
desc_mol_wt,0.00080125727,0.00010222978,rdkit_descriptor
fp_954,0.000783171,8.857219e-06,fingerprint
fp_915,0.0007782208,-0.0003778031,fingerprint
fp_524,0.0007761885,0.0004846306,fingerprint
PTPN7 (5778),0.00070511014,1.5739799e-05,gene_expression
fp_508,0.0006837324,0.000112303984,fingerprint
mut_TP53,0.0006759833,-6.6390685e-06,mutation
target_token_ATR,0.0006567198,-0.00014987127,target_multihot
PUTATIVE_TARGET_NAMPT,0.0006455984,0.0006455984,target
fp_920,0.0006312737,-0.00025957116,fingerprint
target_token_KDR,0.0006285439,-1.827759e-05,target_multihot
fp_562,0.0006230577,-4.7077374e-05,fingerprint
fp_38,0.0006226244,0.00016173956,fingerprint
PPIC (5480),0.00061622617,-6.324909e-05,gene_expression
GPNMB (10457),0.000600197,-3.0836e-05,gene_expression
PUTATIVE_TARGET_HDAC1,0.0005839959,0.0005839959,target
target_token_PSMB5,0.00056405505,4.4821132e-05,target_multihot
fp_624,0.00055287895,8.01704e-05,fingerprint
fp_1009,0.00054962037,2.8200706e-05,fingerprint
MARCKS (4082),0.00054560194,-8.470715e-06,gene_expression
fp_347,0.0005450427,-0.00032376524,fingerprint
fp_555,0.0005395909,-0.00010301542,fingerprint
ABLIM3 (22885),0.0005385399,-9.1738264e-05,gene_expression
fp_586,0.0005358061,-0.00014310949,fingerprint
fp_623,0.0005347534,-0.00014183403,fingerprint
desc_ring_count,0.0005281217,6.4451547e-06,rdkit_descriptor
target_token_HSP90,0.00051987753,0.00051987753,target_multihot
target_token_PI3K_CLASS_1,0.00051854237,-0.00013134541,target_multihot
"PATHWAY_NAME_Other, kinases",0.00051057583,2.6426607e-05,pathway
fp_828,0.0005077928,-3.8856648e-05,fingerprint
fp_926,0.0004979279,-8.894548e-05,fingerprint
AIF1 (199),0.000494146,-1.5006968e-05,gene_expression
"PUTATIVE_TARGET_MEK1, MEK2",0.00049102673,-0.00010037129,target
