modality,mean_abs_shap,mean_shap
fingerprint,0.113726296,0.00250196
gene_expression,0.039698545,0.00054528326
pathway,0.038224384,-0.0053552515
rdkit_descriptor,0.022362744,-0.00037884677
target,0.01883124,0.0042173434
target_multihot,0.017902885,0.0009139516
copy_number,0.0035319556,0.00010039249
rppa,0.0034105405,0.00014930696
pathway_multihot,0.0010459457,5.9380045e-07
mutation,0.0008514167,-2.2847786e-05
target_expression_interaction,0.00040248776,3.237413e-05
fusion,6.612332e-05,-6.57691e-06
tissue,2.6579854e-05,-5.5604846e-06
structure_missing,7.94802e-06,-8.042585e-07
