regime,repeat,dataset_source,n_samples,r2,rmse,mae,pearson,spearman
repeated_drug,1,CCLE,1675,-0.3919387470195565,0.2885591089169385,0.2211729252095955,0.553710417311481,0.5624858744405701
repeated_drug,1,CTRP,86845,0.2174617964996652,0.1740968002909124,0.1279892623335741,0.4916390367459972,0.3661313790911538
repeated_drug,1,GDSC,49209,-0.0749060756305142,0.2061528630346686,0.1440811602653063,0.1187431109288251,0.2639134156111788
repeated_drug,2,CCLE,1862,-0.1534177155660501,0.1531085309241125,0.1264693092578847,0.0184295496227317,-0.0638924280253921
repeated_drug,2,CTRP,86034,0.2392795375869666,0.1733124197874437,0.132635279607937,0.4964555676657669,0.3374343247980775
repeated_drug,2,GDSC,47788,0.0700835749106341,0.1648002953411225,0.1236302369881288,0.2849169637845374,0.2636148551831052
repeated_drug,3,CCLE,2362,-0.97036476509658,0.1894959448838744,0.1593918873187066,-0.2327940658125657,-0.2354595213108194
repeated_drug,3,CTRP,90608,0.2031992151436791,0.164159067959545,0.1257628771703887,0.4547466479334831,0.3523879843070598
repeated_drug,3,GDSC,48482,-0.0312147499795194,0.185738865226208,0.1347758457631217,0.2067673681923292,0.3124082408476611
repeated_drug,4,CCLE,2319,-0.7638989626074715,0.1702704422186163,0.146835172527336,-0.0688070692563865,-0.1070686419389245
repeated_drug,4,CTRP,87269,0.0765587028800185,0.1880252376611945,0.13682960306339,0.3294653480901429,0.3042620712666945
repeated_drug,4,GDSC,48540,-0.0827078516257626,0.2139026359901806,0.1583732544077398,0.1604969973590142,0.1844632425360419
repeated_drug,5,CCLE,2779,0.2539559424420754,0.1929423049704101,0.1588611311226518,0.5330575909021269,0.4253726975117166
repeated_drug,5,CTRP,92357,0.2791468696165242,0.178650810513595,0.1287094568417658,0.541980474148773,0.4658874822385107
repeated_drug,5,GDSC,45533,-0.1490537680567369,0.1987989965228304,0.1462748357458614,0.1089028605497545,0.1803479530682342
scaffold,1,CCLE,3209,-1.020995001959034,0.1621011295859717,0.1358795482661623,0.0728306289637972,0.0087616958113214
scaffold,1,CTRP,85800,0.2458528737387665,0.1644051273807012,0.1214858466941541,0.4978063475183563,0.4335592046901186
scaffold,1,GDSC,52312,0.0318983542196519,0.2043618625931727,0.1444384694586294,0.2465858652389828,0.1644636818095634
scaffold,2,CTRP,91894,0.1530113216978078,0.1976804759742039,0.1377619352583041,0.4286529169149584,0.3933312430515092
scaffold,2,GDSC,42664,-0.0311095900042979,0.1864571257411522,0.137401482671444,0.190568862711891,0.3212908334329198
scaffold,3,CCLE,953,0.6611474279508647,0.1402752328986566,0.1154978623808989,0.8838454937284739,0.8541846167745161
