regime,repeat,seed,train_samples,test_samples,train_drugs,test_drugs,train_cells,test_cells,shared_drugs,shared_cells,n_features,r2,rmse,mae,pearson,spearman,r2_ci_low,r2_ci_high,rmse_ci_low,rmse_ci_high,mae_ci_low,mae_ci_high,pearson_ci_low,pearson_ci_high,spearman_ci_low,spearman_ci_high,drugs_with_known_scaffold,total_drugs,scaffold_groups,train_scaffold_groups,test_scaffold_groups,shared_scaffold_groups,train_pathways,test_pathways,shared_pathways,train_targets,test_targets,shared_targets
repeated_drug,1,42,551732,137729,720,181,984,984,0,984,4451,0.2044235737058817,0.1879064448625116,0.1348719728784843,0.4623702039559758,0.4809823988448675,0.1987240986971538,0.2104322855479128,0.1867697370040938,0.1890630359439741,0.1341496179498484,0.1356050776669295,0.4568025019244698,0.468624282365698,0.4764248966005438,0.4860987359094166,,,,,,,,,,,,
repeated_drug,2,43,553777,135684,720,181,984,984,0,984,4464,0.3276320680892207,0.1700971421223177,0.1293790812830999,0.5758915754445297,0.557025004216522,0.3223376394678945,0.3340197388752374,0.1690401037071648,0.1710053773992624,0.1287417080712235,0.1298841001869548,0.5717395574038551,0.5810704950529691,0.5525076516295948,0.5616986168982964,,,,,,,,,,,,
repeated_drug,3,44,548009,141452,720,181,984,984,0,984,4467,0.2222849240543123,0.1722956761039959,0.1294135746881559,0.4822444573725779,0.4888356456453523,0.2171541075202434,0.2281502117111523,0.171396907318163,0.173141311847661,0.1287819391479794,0.1299532267872231,0.4776776944824048,0.4871725728312265,0.4843823506728162,0.4934182351136599,,,,,,,,,,,,
repeated_drug,4,45,551333,138128,720,181,984,984,0,984,4465,0.1437329604973165,0.197235097648283,0.144568307394457,0.4013207293649561,0.4473597531775467,0.1382630718728133,0.1490409384236056,0.1958710054258049,0.1982910410822334,0.1437485270771604,0.145224905817238,0.3958122176106616,0.4067859581771753,0.4426526536632443,0.4517776169643264,,,,,,,,,,,,
repeated_drug,5,46,548792,140669,720,181,984,984,0,984,4464,0.26645426073853,0.1856950672203454,0.1349908400922813,0.5229584269941087,0.4956776898293347,0.2616889285257606,0.2724541240226688,0.1844990700238716,0.1865199479650325,0.1341316136919602,0.1355883087001183,0.5185559190848166,0.5282602018596874,0.4914139793687552,0.5004353061223255,,,,,,,,,,,,
scaffold,1,42,548140,141321,719,182,984,984,0,984,4450,0.2475877357916031,0.1801838902101064,0.1303089302443682,0.5028250172524564,0.5165015159642388,0.2415420321136298,0.2525614181749581,0.1792491510033568,0.1812855426601491,0.1297215298748965,0.1309339626698422,0.4973875274184542,0.5072258397632475,0.5127095538378622,0.5203742770303164,563.0,901.0,845.0,676.0,169.0,0.0,,,,,,
scaffold,2,43,554903,134558,719,182,984,970,0,970,4457,0.2201247070493607,0.1941921549061275,0.13764764737378,0.4856654432171652,0.5178469383092927,0.2153962085149981,0.225294425336304,0.1931793017007622,0.1951550473521019,0.1369475249012681,0.1382418360505325,0.4813563854240983,0.4907434326430394,0.5131952057428286,0.5225191859811015,563.0,901.0,845.0,676.0,169.0,0.0,,,,,,
scaffold,3,44,553482,135979,716,185,984,984,0,984,4463,0.1834151870814496,0.1818935684619108,0.1345920623074579,0.4373545303781826,0.5103261299042852,0.1782558470243868,0.1882295520901782,0.1808981652641522,0.1828547620487834,0.1339487574790101,0.1351969776853291,0.4322366721243819,0.4422132949946458,0.5061966693631791,0.5140462211412605,563.0,901.0,845.0,676.0,169.0,0.0,,,,,,
scaffold,4,45,554753,134708,723,178,984,984,0,984,4453,0.2559100989634573,0.1806002282780636,0.1346868248289354,0.5083743405332051,0.5396562102922383,0.2503361110161983,0.2613552516671189,0.179606339180152,0.1815332558970953,0.1339804897123188,0.1353002111755768,0.5032163535745235,0.5133661329857486,0.5353727847712468,0.5447282530292225,563.0,901.0,845.0,676.0,169.0,0.0,,,,,,
scaffold,5,46,542923,146538,719,182,984,984,0,984,4463,0.2377344103377191,0.1870671818145904,0.1351799708133958,0.4989157066610395,0.5470847163324019,0.2330280279533003,0.2429411815393475,0.1861571745253523,0.1882719317114807,0.1345492504898798,0.1358309216298158,0.4948717633583414,0.5034659270454973,0.5434301790465709,0.5503834545579991,563.0,901.0,845.0,676.0,169.0,0.0,,,,,,
pathway,1,42,644073,45388,835,69,984,714,3,714,4509,0.0127511718098878,0.1613990612554793,0.1253608369640505,0.219254416394181,0.0820072626045135,0.0057169136949803,0.0193939859030292,0.1595300492281192,0.1628200961547333,0.1243192846727302,0.1262217765900914,0.2077102588081891,0.2322944427575204,0.0710856574068391,0.0898809141580104,,,,,,,20.0,5.0,0.0,,,
pathway,2,43,659351,30110,860,43,984,713,2,713,4522,-0.0514075623827305,0.148284931788232,0.1150596620272736,0.0717667009748108,0.0734533201485285,-0.060328234045493,-0.0439010834168518,0.1462752497859177,0.1499770491446914,0.1140449458640344,0.1159816881295101,0.0599192159759548,0.0845640130721617,0.0628502283539,0.0859130931095481,,,,,,,20.0,5.0,0.0,,,
pathway,3,44,656990,32471,859,50,984,714,8,714,4522,0.0793775017718404,0.2128023077779093,0.1562774650349126,0.3186859556309531,0.3981612807324073,0.0706856785027028,0.0891113627920916,0.2100904788711713,0.2153958575334489,0.1545290274253454,0.1577756745661533,0.3089405935788369,0.3284929792335269,0.3905189878252466,0.4078679999284657,,,,,,,20.0,5.0,0.0,,,
pathway,4,45,587371,102090,753,163,984,714,15,714,4426,-0.04120314335745956,0.16119383489004063,0.12735419838850545,0.12119201167168725,0.07179268743204345,-0.04684652215962912,-0.036197402666848705,0.16015779959201887,0.16222011880234055,0.1267148781747753,0.1280096006590507,0.11382576733610471,0.12900484625006156,0.06526637807898954,0.07794071082858095,,,,,,,20.0,5.0,0.0,,,
